IS_HOST(y or n),"LOCAL_MODULE_TAGS(Can not be empty, using n instead)",LOCAL_MODULE,BUILD_TYPE(one of BUILD_SHARED_LIBRARY BUILD_STATIC_LIBRARY BUILD_EXECUTABLE BUILD_JAVA_LIBRARY BUILD_STATIC_JAVA_LIBRARY BUILD_PACKAGE),PATH(the directory of Android.mk),SYSTEM PATH
n,optional,librutils,BUILD_SHARED_LIBRARY,oppo/libs/rutils,
n,optional,rutilsdaemon,BUILD_EXECUTABLE,oppo/libs/rutils/rutilsdaemon,
n,optional,libencryption,BUILD_SHARED_LIBRARY,oppo/libs/encryption,
n,optional,libassert_jni,BUILD_SHARED_LIBRARY,oppo/libs/assert,
n,optional,libChineseDateAndSolarDate,BUILD_SHARED_LIBRARY,oppo/libs/chinesedateandsolardate,
n,optional,libguobiv5_jni,BUILD_SHARED_LIBRARY,oppo/libs/guobi,
n,optional,libmodel_jni,BUILD_SHARED_LIBRARY,oppo/libs/model,
n,optional,libms4d_jni,BUILD_SHARED_LIBRARY,oppo/libs/model/ms4d,
n,optional,liboppometadataretriever_jni,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppometadataretriever,
n,optional,liboppometadataediter_jni,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppometadataediter,
n,optional,libopporecorder_jni,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppomediarecoder,
n,optional,libopporingediter_jni,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppoRingEditer,
n,optional,liboppoplayer_jni,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppomediaplayer/jni,
n,optional,liboppostagefright,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppostagefright,
n,optional,libatrc,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppostagefright/helix,
n,optional,librv20,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppostagefright/helix,
n,optional,librv40,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppostagefright/helix,
n,optional,libx13,BUILD_SHARED_LIBRARY,oppo/libs/oppomedia/oppostagefright/helix,
n,optional,oppo-framework,BUILD_JAVA_LIBRARY,oppo/oppo-framework/base,
n,optional,br_app_data_service,BUILD_EXECUTABLE,oppo/libs/backuprestore,
n,optional,libthwsplit,BUILD_SHARED_LIBRARY,oppo/libs/thwsplitjni,
n,optional,liboppographic,BUILD_SHARED_LIBRARY,oppo/libs/oppoGraphic,
